task,question,arm,correct,stale,provenance,tokens
"caching","Why was Redis rejected?","summary",false,false,,62
"caching","Why was Redis rejected?","trace_intel",true,false,1.000,148
"caching","Why was the LRU removed?","raw",false,false,,46
"caching","Why was the LRU removed?","summary",false,false,,62
"caching","Why was the LRU removed?","trace_intel",true,false,1.000,144
"caching","What file is involved?","raw",true,false,,46
"caching","What file is involved?","summary",true,false,,62
"caching","What file is involved?","trace_intel",true,false,1.000,86
"caching","What test failed?","raw",true,false,,43
"caching","What test failed?","summary",false,false,,61
"caching","What test failed?","trace_intel",true,false,1.000,137
"caching","What was the previous approach?","raw",true,false,,48
"caching","What was the previous approach?","summary",true,false,,64
"caching","What was the previous approach?","trace_intel",true,false,1.000,164
"caching","What is the next action?","raw",true,false,,38
"caching","What is the next action?","summary",true,false,,62
"caching","What is the next action?","trace_intel",true,false,1.000,142
"caching","Which decisions are superseded?","raw",true,false,,48
"caching","Which decisions are superseded?","summary",true,false,,64
"caching","Which decisions are superseded?","trace_intel",true,false,1.000,215
"caching","What changed since session_01?","raw",false,false,,48
"caching","What changed since session_01?","summary",true,false,,64
"caching","What changed since session_01?","trace_intel",true,false,1.000,189
"caching","What was the cache hit rate before removal?","raw",true,false,,35
"caching","What was the cache hit rate before removal?","summary",false,false,,67
"caching","What was the cache hit rate before removal?","trace_intel",true,false,1.000,148
